iter	Passed	Remaining
656	2456	1282
657	2459	1278
658	2461	1273
659	2463	1269
660	2465	1264
661	2467	1259
662	2469	1255
663	2473	1251
664	2475	1246
665	2477	1242
666	2479	1237
667	2481	1233
668	2483	1228
669	2485	1223
670	2488	1220
671	2490	1215
672	2492	1211
673	2494	1206
674	2496	1202
675	2498	1197
676	2500	1193
677	2504	1189
678	2506	1185
679	2508	1180
680	2510	1176
681	2512	1171
682	2514	1167
683	2518	1163
684	2521	1159
685	2523	1154
686	2525	1150
687	2527	1146
688	2529	1141
689	2531	1137
690	2535	1133
691	2538	1129
692	2540	1125
693	2543	1121
694	2547	1117
695	2551	1114
696	2553	1110
697	2555	1105
698	2557	1101
699	2559	1096
700	2561	1092
701	2565	1088
702	2567	1084
703	2569	1080
704	2571	1075
705	2573	1071
706	2574	1067
707	2576	1062
708	2580	1059
709	2582	1054
710	2584	1050
711	2586	1046
712	2588	1041
713	2590	1037
714	2592	1033
715	2596	1029
716	2599	1025
717	2601	1021
718	2603	1017
719	2605	1013
720	2607	1008
721	2611	1005
722	2613	1001
723	2615	996
724	2616	992
725	2618	988
726	2620	984
727	2625	981
728	2628	977
729	2631	973
730	2633	969
731	2635	965
732	2641	962
733	2644	958
734	2646	954
735	2648	949
736	2650	945
737	2652	941
738	2654	937
739	2657	933
740	2659	929
741	2661	925
742	2663	921
743	2665	917
744	2667	912
745	2669	908
746	2671	904
747	2673	900
748	2675	896
749	2677	892
750	2679	888
751	2681	884
752	2684	880
753	2686	876
754	2688	872
755	2690	868
756	2692	864
757	2694	860
758	2696	856
759	2700	852
760	2701	848
761	2704	844
762	2706	840
763	2708	836
764	2710	832
765	2711	828
766	2715	824
767	2717	820
768	2719	816
769	2721	812
770	2723	808
771	2725	804
772	2727	800
773	2731	797
774	2734	793
775	2736	789
776	2739	786
777	2741	782
778	2743	778
779	2746	774
780	2748	770
781	2750	766
782	2752	762
783	2754	758
784	2756	754
785	2758	750
786	2761	747
