iter	Passed	Remaining
856	1939	323
857	1941	321
858	1942	318
859	1944	316
860	1946	314
861	1948	312
862	1952	309
863	1954	307
864	1956	305
865	1958	303
866	1960	300
867	1962	298
868	1963	296
869	1965	293
870	1966	291
871	1968	288
872	1969	286
873	1971	284
874	1973	281
875	1975	279
876	1977	277
877	1978	274
878	1980	272
879	1982	270
880	1983	267
881	1985	265
882	1989	263
883	1993	261
884	1995	259
885	1997	256
886	1998	254
887	2000	252
888	2003	250
889	2004	247
890	2006	245
891	2008	243
892	2009	240
893	2012	238
894	2013	236
895	2015	233
896	2017	231
897	2019	229
898	2021	227
899	2023	224
900	2024	222
901	2026	220
902	2028	217
903	2030	215
904	2032	213
905	2033	211
906	2035	208
907	2037	206
908	2039	204
909	2041	201
910	2042	199
911	2044	197
912	2046	195
913	2048	192
914	2049	190
915	2051	188
916	2052	185
917	2054	183
918	2055	181
919	2057	178
920	2058	176
921	2060	174
922	2062	172
923	2064	169
924	2065	167
925	2067	165
926	2069	162
927	2071	160
928	2073	158
929	2075	156
930	2076	153
931	2078	151
932	2080	149
933	2081	147
934	2083	144
935	2084	142
936	2086	140
937	2088	138
938	2090	135
939	2091	133
940	2093	131
941	2094	128
942	2096	126
943	2097	124
944	2099	122
945	2100	119
946	2102	117
947	2104	115
948	2106	113
949	2107	110
950	2109	108
951	2110	106
952	2112	104
953	2113	101
954	2115	99
955	2117	97
956	2119	95
957	2121	92
958	2123	90
959	2124	88
960	2126	86
961	2127	84
962	2129	81
963	2133	79
964	2136	77
965	2137	75
966	2140	73
967	2142	70
968	2144	68
969	2146	66
970	2149	64
971	2152	61
972	2154	59
973	2156	57
974	2160	55
975	2162	53
976	2164	50
977	2170	48
978	2172	46
979	2180	44
980	2183	42
981	2186	40
982	2188	37
983	2190	35
984	2193	33
985	2195	31
986	2197	28
987	2199	26
988	2201	24
989	2203	22
990	2213	20
991	2215	17
992	2217	15
993	2222	13
994	2224	11
995	2225	8
996	2227	6
997	2229	4
998	2231	2
999	2235	0
